old_id,old_title,old_web,old_image,old_source,old_city,coverage,match_status,match_score,new_id,new_title,new_web
599,The Deen Hotel,http://www.thedeen.com/,/images/deen.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:83,Perth,covered,matched_domain,1,479,The Deen Hotel,thedeen.com
601,Tango Abrazo,http://tango.jaz.com.au/,,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:478,Perth,covered,matched_domain,1,13,Abrazo Tango,tango.jaz.com.au
602,Soup Plus,http://www.soupplus.com.au/gigs.html,/images/soupplus_165x67.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:83,Sydney,covered,matched_domain,1,425,Soup Plus,soupplus.com.au
603,Web Site Re-Design Service! Have a web site? Keep it fresh. Get a new web site design and keep customers coming back! Call for Free quote! Call 02-941,,/images/dot_b.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\portfolio.htm,,review:long_title,unmatched,0.286,,,
604,Castlereagh Dance,http://www.castlereaghdance.com.au,/images/CastlereaghLogo_E4S.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\archivefile\pages\dance_classes_sydney_archmay06.htm,Sydney,possible_old_only,unmatched,0.643,,,
605,City Salsa Club,http://www.citysalsaclub.com.au,/images/citysalsaclub_165x70.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\Customer page links\quotes\citysalsaclub.htm,,covered,matched_domain,1,92,City Salsa,citysalsaclub.com.au
606,WHAT'S N EW,http://www.menasanimals.com,/images/menasanimals_170x100.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\archivefile\advertisers\what.htm,,possible_old_only,unmatched,0.571,,,
607,Elite Introductions,http://www.eliteintroductions.com.au,/images/elite.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\customer_listings\elite.htm,,covered,matched_domain,1,585,Elite Introductions,eliteintroductions.com.au
608,Wholistic Therapies,http://www.wholisticare.com,/images/wholistictherapies_130x80.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:103,Sydney,covered,matched_domain,1,516,Wholistic Therapies,wholisticare.com
609,Cruise Line Reviews,http://www.expedia.com,/images/Expedia140x90.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:90,Darwin,possible_old_only,unmatched,0.622,,,
610,Sydney Event Cruises,,/images/sydeventcruise_160x96.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\cruises4singles.htm,,possible_old_only,unmatched,0.605,,,
612,Spikey Hair,http://www.spikeyhair.com.au/Chat.html,/images/flirt.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:71,,possible_old_only,unmatched,0.6,,,
613,Aymen Fares,http://www.keytolife.com.au,/images/sandy_90x117.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\life_coaches_melbourne.htm,Melbourne,covered,matched_title,1,40,Aymen Fares,keytolife.com.au | keytolife.com.au/contact.html
